alpha,arousal1,betha,theta,gamma,valence1
4.26,0.23,6.31,4.24,6.71,-0.01
3.99,0.25,6.32,4.81,6.72,-0.02
4.08,0.24,6.33,5.06,6.83,-0.02
4.3,0.23,6.38,5.16,6.96,-0.01
4.39,0.23,6.47,5.25,7.23,-0.01
4.44,0.23,6.42,5.24,7.17,-0.01
4.44,0.23,6.29,5.22,7.15,-0.01
4.44,0.23,6.18,5.24,7.01,-0.01
4.44,0.23,6.15,5.25,7.05,-0.01
4.42,0.23,6.03,5.32,7.07,-0.01
4.37,0.23,5.95,5.33,6.96,0
4.35,0.23,5.76,5.15,6.96,0
4.2,0.24,5.83,4.74,6.98,0
3.64,0.27,5.75,4.34,6.91,0.01
3.51,0.29,5.64,4.01,6.57,0.01
3.58,0.28,5.37,3.85,6.27,0.01
3.48,0.29,5.36,3.85,6.32,0.01
3.51,0.29,5.49,3.86,6.34,0.01
3.69,0.27,5.5,3.83,6.24,0
3.84,0.26,5.71,3.71,6.13,0
3.81,0.26,5.74,3.3,6.01,0
3.82,0.26,5.79,3.06,6.09,0
3.9,0.26,5.8,3.52,5.9,0
4.09,0.24,5.66,4.17,5.83,0
4.19,0.24,5.62,4.63,5.65,0
4.1,0.24,5.67,4.79,5.59,0
4.01,0.25,5.64,4.84,5.51,0
4,0.25,5.65,4.87,5.4,0
3.95,0.25,5.54,4.86,5.39,0.01
3.77,0.27,5.42,4.88,5.45,0.01
3.8,0.26,5.62,4.97,5.5,0.02
4.1,0.24,5.63,5.14,5.48,0.02
4.35,0.23,5.46,5.38,5.35,0.01
4.36,0.23,5.48,5.55,5.22,0.01
4.23,0.24,5.53,5.54,5.13,0
4.18,0.24,5.7,5.43,5.4,0
4.39,0.23,5.69,5.44,5.41,0.01
4.73,0.21,5.79,5.67,6.07,0.01
4.85,0.21,5.77,5.81,6.16,0.01
4.89,0.2,5.87,5.9,6.19,0.01
4.94,0.2,5.96,5.95,6.15,0.01
4.92,0.2,5.91,5.91,6.09,0
4.77,0.21,6.02,5.85,6.12,0
4.63,0.22,6.23,5.76,6.23,0.01
4.6,0.22,6.24,5.62,6.27,0.01
4.62,0.22,6.23,5.58,6.22,0.01
4.59,0.22,6.18,5.65,6.19,0.01
4.45,0.22,6.28,5.5,6.26,0.01
4.01,0.25,6.29,5.26,5.81,-0.01
3.9,0.26,6.26,5.42,5.83,-0.01
3.8,0.26,6.16,5.46,5.75,-0.01
3.6,0.28,6.15,5.38,5.78,0.01
3.77,0.27,6.1,5.43,5.74,0.01
3.95,0.25,5.96,5.51,5.74,0
3.96,0.25,5.73,5.54,5.59,0
3.9,0.26,5.69,5.51,5.54,0
3.83,0.26,5.65,5.37,5.6,0
3.71,0.27,5.52,5.25,5.6,0
3.52,0.28,5.3,5.23,5.3,-0.01
3.51,0.29,5.09,5.07,5.03,-0.01
3.72,0.27,5.12,5.01,5.08,0
4.15,0.24,5.06,5.25,5.12,0
4.23,0.24,4.76,5.36,5.1,-0.01
4.06,0.25,4.76,5.26,5.14,0
4.06,0.25,4.83,5.15,5.07,0
4.15,0.24,4.83,5.19,5.13,-0.01
4.23,0.24,4.79,5.21,5.13,-0.01
4.31,0.23,4.78,5.22,5.1,-0.01
4.31,0.23,4.86,5.22,5.07,-0.01
4.34,0.23,4.84,5.23,5.11,-0.01
4.36,0.23,4.94,5.13,5.21,-0.01
