alpha,arousal1,betha,theta,gamma,valence1
3.86,0.26,4.11,5.55,3.16,0.02
3.84,0.26,4.10,5.28,3.02,0.01
3.94,0.25,3.99,5.07,2.88,0.01
3.92,0.26,3.86,5.07,2.79,0.01
3.72,0.27,3.77,5.06,2.73,0.00
3.41,0.29,3.77,4.95,2.60,-0.01
3.23,0.31,3.76,4.69,2.54,-0.01
3.24,0.31,3.61,4.32,2.08,-0.01
3.20,0.31,3.54,4.01,2.05,-0.01
2.93,0.34,3.36,4.01,1.88,-0.02
2.78,0.36,3.25,4.02,1.71,-0.04
2.78,0.36,3.18,4.01,1.59,-0.03
2.53,0.39,3.19,4.08,1.72,-0.03
2.17,0.46,3.17,4.22,1.69,-0.02
2.38,0.42,3.14,4.55,1.70,-0.03
2.54,0.39,3.09,4.72,1.64,-0.01
2.49,0.40,3.06,4.72,1.75,0.00
2.46,0.41,2.94,4.72,1.76,0.00
2.41,0.41,3.02,4.74,1.77,-0.02
2.58,0.39,3.06,4.67,1.74,-0.03
2.71,0.37,3.06,4.58,1.83,-0.04
2.71,0.37,3.11,4.52,1.79,-0.05
2.77,0.36,3.01,4.47,1.74,-0.06
2.83,0.35,2.55,4.42,1.73,-0.05
2.79,0.36,2.71,4.21,1.74,-0.05
2.70,0.37,3.09,3.66,1.83,-0.05
2.78,0.36,3.13,3.20,1.81,-0.05
2.83,0.35,3.10,3.28,1.77,-0.05
2.83,0.35,3.10,3.31,1.73,-0.05
2.71,0.37,3.10,3.28,1.71,-0.05
2.51,0.40,3.18,3.41,1.75,-0.04
2.45,0.41,3.16,3.85,1.75,-0.03
2.42,0.41,3.12,4.28,1.76,-0.03
5.18,0.19,3.92,7.39,1.75,0.00
4.99,0.20,3.55,7.00,1.56,0.01
4.75,0.21,3.36,6.51,1.56,0.01
4.69,0.21,3.12,6.18,1.52,0.01
4.43,0.23,3.01,5.56,1.52,0.01
3.94,0.25,2.79,5.09,1.55,0.00
3.59,0.28,2.80,4.75,1.53,-0.02
3.57,0.28,2.80,4.20,1.39,-0.02
3.45,0.29,2.84,3.97,1.40,-0.02
3.39,0.30,2.65,3.97,1.57,-0.01
3.20,0.31,2.58,3.90,1.59,-0.01
2.97,0.34,2.47,3.38,1.57,-0.01
2.60,0.39,2.49,2.95,1.54,0.00
1.96,0.51,2.53,2.97,1.64,-0.01
1.78,0.56,2.59,3.20,1.65,-0.02
1.83,0.55,2.62,3.57,1.58,-0.01
2.01,0.50,3.65,3.81,2.95,-0.03
2.43,0.41,4.50,4.24,3.22,-0.01
2.65,0.38,4.55,4.92,3.27,0.00
3.23,0.31,4.65,5.75,3.29,-0.02
4.17,0.24,4.95,6.15,3.32,-0.01
4.75,0.21,5.38,6.31,3.62,-0.01
5.04,0.20,5.44,6.37,3.63,-0.01
5.08,0.20,5.46,6.38,3.70,-0.01
5.10,0.20,5.47,6.43,3.70,-0.01
5.11,0.20,5.46,6.45,3.71,-0.01
5.10,0.20,5.47,6.46,3.74,-0.01
5.08,0.20,5.24,6.48,3.24,-0.01
5.06,0.20,5.09,6.44,3.11,-0.01
5.07,0.20,5.05,6.25,3.21,-0.01
4.94,0.20,5.00,5.95,3.20,-0.01
4.68,0.21,4.45,5.58,3.03,-0.01
3.87,0.26,3.50,5.17,2.63,-0.02
3.23,0.31,3.04,5.31,2.63,-0.02
3.21,0.31,2.92,5.52,2.38,-0.01
3.12,0.32,3.07,5.56,2.49,-0.02
3.12,0.32,3.46,5.53,2.60,-0.02
3.42,0.29,3.56,5.47,2.56,0.01
