alpha,arousal1,betha,theta,gamma,valence1
2.76,0.362,3.53,4.94,2.67,0.000503
2.8,0.358,3.48,4.99,2.62,0.00359
3.03,0.33,3.49,4.99,2.58,0.00447
3.38,0.296,3.42,5,2.57,-0.00484
3.59,0.278,3.43,5.01,2.45,-0.00768
3.64,0.274,3.17,5.03,2.46,-0.00969
3.63,0.275,3.21,5.01,2.43,-0.0158
3.66,0.273,3.22,4.78,2.37,-0.0233
3.75,0.267,3.3,4.34,2.24,-0.0201
3.74,0.267,3.15,4.1,2.26,-0.0247
3.7,0.27,3.19,3.98,2.21,-0.0252
3.73,0.268,3.2,3.61,2.02,-0.0186
3.75,0.266,3.24,3.5,2.02,-0.0178
3.61,0.277,3.21,3.68,1.96,-0.0112
3.34,0.299,3.19,3.74,2,-0.00134
3.15,0.317,3.17,3.71,2.11,0.00458
3.13,0.319,3.13,3.8,2.24,0.0127
3.05,0.328,3.14,3.86,2.32,0.0215
2.79,0.358,3.13,4.04,2.49,0.0461
2.6,0.385,2.88,4.39,2.51,0.0678
2.62,0.381,2.9,4.58,2.56,0.087
2.66,0.376,2.8,4.6,2.57,0.0978
2.5,0.4,2.73,4.58,2.58,0.128
2.48,0.404,2.54,4.57,2.57,0.142
2.73,0.366,2.59,4.67,2.57,0.104
2.96,0.338,3.04,4.77,2.51,0.0632
3.02,0.331,3.08,4.98,2.45,0.0673
3.2,0.312,3.13,5.31,2.24,0.0789
3.19,0.313,3.21,5.46,2.18,0.0787
3.24,0.308,3.18,5.44,2.07,0.0761
3.28,0.305,3.14,5.35,2.09,0.0728
3.26,0.307,3.18,5.31,1.98,0.0719
3.27,0.306,3.24,5.32,1.98,0.064
3.28,0.305,3.22,5.32,2.02,0.0556
3.19,0.313,3.17,5.28,2.02,0.0517
3.04,0.329,3.03,5.21,2.11,0.0557
3.12,0.32,2.71,5.13,2.18,0.048
3.05,0.327,2.72,4.77,2.29,0.0217
3.07,0.326,2.74,3.96,2.25,-0.000885
3.19,0.314,2.72,3.36,2.19,-0.00135
3.25,0.308,2.75,3.12,2.03,-0.00611
3.27,0.306,2.75,3.04,1.98,-0.0155
3.25,0.307,2.87,3.17,2.1,-0.0214
3.21,0.311,2.84,3.15,2.08,-0.0182
3.28,0.305,2.83,3.28,2.05,-0.0168
3.28,0.305,2.87,3.36,1.92,-0.0251
3.16,0.316,2.99,3.37,2.08,-0.0271
3.1,0.322,3.03,3.36,2.11,-0.0238
3.16,0.317,3,3.35,2.02,-0.016
3.21,0.312,3.02,3.26,2.13,-0.00838
3.13,0.32,3.06,3.41,2.17,-0.001
2.97,0.336,3.11,3.77,2.31,-0.00164
3.01,0.333,3.02,3.89,2.32,-0.00999
3.1,0.323,2.99,3.86,2.33,-0.0155
3.1,0.323,2.98,3.87,2.34,-0.0195
3.06,0.327,3.02,3.81,2.35,-0.0208
3.1,0.322,2.96,3.7,2.39,-0.0165
3.16,0.316,2.83,3.79,2.22,-0.0163
