alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
3.28,0.305,3.64,4.91,1.54,0.0304,Sad,Agressive
3.47,0.288,3.67,4.95,1.64,0.0229,Sad,Agressive
3.79,0.264,3.58,4.92,1.66,0.00886,Sad,Agressive
3.87,0.259,3.54,4.85,1.73,-0.00243,Sad,Agressive
3.81,0.262,3.35,4.88,1.75,-0.00641,Sad,Agressive
3.82,0.262,3.3,4.93,1.93,-0.0019,Sad,Agressive
3.81,0.263,3.3,4.89,2,-0.00195,Sad,Agressive
3.76,0.266,3.13,4.76,2.02,-0.00838,Sad,Agressive
3.74,0.267,3.07,4.58,2.08,-0.0166,Sad,Agressive
3.84,0.26,3.02,4.5,2.11,-0.016,Sad,Agressive
4.02,0.249,3.11,4.48,2.19,-0.0129,Sad,Agressive
4.1,0.244,3.13,4.43,2.2,-0.00956,Sad,Agressive
4,0.25,3.17,4.22,2.12,-0.00881,Sad,Agressive
3.77,0.265,3.19,3.93,2.1,-0.00634,Sad,Agressive
3.53,0.283,3.25,3.58,2.11,-0.00441,Sad,Agressive
3.41,0.293,3.34,3.2,2.09,-0.00795,Sad,Agressive
3.4,0.294,3.39,3.11,2,-0.0163,Sad,Agressive
3.41,0.293,3.38,3.05,2.01,-0.0188,Sad,Agressive
3.41,0.293,3.51,2.78,1.86,-0.0184,Sad,Agressive
3.4,0.294,3.49,2.82,1.88,-0.0201,Sad,Agressive
3.22,0.311,3.28,3.42,1.7,-0.0289,Sad,Agressive
3.18,0.315,3.14,3.89,1.76,-0.0416,Sad,Agressive
3.37,0.296,3.07,3.93,1.86,-0.0305,Sad,Agressive
3.55,0.282,3.26,3.97,2.03,-0.0228,Sad,Agressive
3.69,0.271,3.31,4.1,2.08,-0.02,Sad,Agressive
3.88,0.257,3.38,4.31,2.25,-0.015,Sad,Agressive
3.92,0.255,3.37,4.51,2.27,-0.0129,Sad,Agressive
3.94,0.254,3.37,4.63,2.33,-0.00944,Sad,Agressive
3.98,0.251,3.38,4.7,2.3,-0.00974,Sad,Agressive
4,0.25,3.27,4.75,2.28,-0.00938,Sad,Agressive
3.96,0.252,3.34,4.76,2.37,-0.00775,Sad,Agressive
3.85,0.26,3.3,4.7,2.39,-0.00421,Sad,Agressive
3.69,0.271,3.29,4.8,2.31,-0.00531,Sad,Agressive
3.36,0.298,3.35,4.92,2.3,-0.0154,Sad,Agressive
3.24,0.309,3.09,4.89,2.12,-0.0181,Sad,Agressive
2.95,0.339,3.13,4.86,2.07,-0.0479,Sad,Agressive
2.63,0.381,3.1,4.78,1.85,-0.0837,Sad,Agressive
2.74,0.365,3.14,4.62,2.22,-0.0606,Sad,Agressive
2.68,0.373,3.05,4.5,2.31,-0.0381,Sad,Agressive
2.63,0.381,3.02,4.44,2.37,-0.0469,Sad,Agressive
2.78,0.36,3.07,4.39,2.37,-0.0358,Sad,Agressive
2.95,0.339,2.99,4.3,2.27,-0.018,Sad,Agressive
3,0.333,3.12,4.14,2.45,-0.0121,Sad,Agressive
3.05,0.327,3.32,3.85,2.43,-0.0107,Sad,Agressive
3.18,0.315,3.34,3.73,2.44,-0.0114,Sad,Agressive
3.17,0.316,3.44,3.8,2.47,-0.0124,Sad,Agressive
3.1,0.323,3.49,3.82,2.52,-0.00633,Sad,Agressive
3.05,0.328,3.54,3.77,2.4,-0.00262,Sad,Agressive
3.02,0.331,3.43,3.77,2.21,-0.0121,Sad,Agressive
3.21,0.312,3.5,3.9,2.22,-0.0229,Sad,Agressive
3.29,0.304,3.58,3.9,2.29,-0.0247,Sad,Agressive
3.2,0.313,3.59,4,2.4,-0.0406,Sad,Agressive
3.08,0.325,3.56,4.12,2.43,-0.0618,Sad,Agressive
3.15,0.317,3.41,4.13,2.3,-0.059,Sad,Agressive
3.24,0.309,3.37,4.35,2.34,-0.0564,Sad,Agressive
3.22,0.311,3.36,4.63,2.39,-0.0579,Sad,Agressive
3.22,0.31,3.07,4.82,2.39,-0.0556,Sad,Agressive
3.24,0.308,3.01,4.86,2.33,-0.0483,Sad,Agressive
3.24,0.309,2.98,4.89,2.38,-0.0492,Sad,Agressive
3.2,0.312,3.01,4.87,2.34,-0.0564,Sad,Agressive
3.19,0.313,2.87,4.84,2.14,-0.0543,Sad,Agressive
3.19,0.314,2.83,4.83,1.99,-0.0274,Sad,Agressive
3.21,0.311,2.87,4.76,1.99,-0.0104,Sad,Agressive
3.19,0.314,2.93,4.66,2.01,-0.0116,Sad,Agressive
3.09,0.324,2.92,4.57,2,-0.0143,Sad,Agressive
2.85,0.35,2.89,4.36,1.99,-0.00448,Sad,Agressive
2.9,0.345,3,3.94,1.92,-0.00177,Sad,Agressive
3.01,0.332,3,3.53,2,-0.00389,Sad,Agressive
2.99,0.335,2.94,3.43,2.05,-0.00485,Sad,Agressive
2.95,0.338,3.08,3.29,1.97,0.00291,Sad,Agressive
2.85,0.351,3.21,3.28,2.01,0.0215,Sad,Agressive
2.7,0.37,3.24,3.39,1.99,0.0318,Sad,Agressive
2.64,0.378,3.29,3.38,2.05,0.0147,Sad,Agressive
2.66,0.376,3.32,3.39,2.04,0.00299,Sad,Agressive
2.82,0.354,3.34,3.48,2.09,0.00719,Sad,Agressive
2.9,0.345,3.37,3.5,2.25,0.00408,Sad,Agressive
