alpha,arousal1,betha,arousal2,theta,gamma,valence1,'Stimuli (Audio)',Response
3.67,0.273,3.17,0.865,3.99,2.67,-0.0278,Agressive,Agressive
3.53,0.283,3.13,0.886,3.77,2.67,-0.0251,Agressive,Agressive
3,0.334,3.11,1.04,3.26,2.73,-0.0354,Agressive,Agressive
2.55,0.392,3.04,1.19,3.1,2.73,-0.0337,Agressive,Agressive
2.54,0.394,3.06,1.21,3.02,2.84,-0.0288,Agressive,Agressive
2.6,0.385,3.07,1.18,3.05,2.74,-0.0231,Agressive,Agressive
2.66,0.376,3.07,1.15,3.5,2.63,-0.000517,Agressive,Agressive
2.49,0.402,2.99,1.2,3.8,2.76,0.0219,Agressive,Agressive
2.37,0.422,2.88,1.21,3.83,2.82,0.0328,Agressive,Agressive
2.49,0.402,2.83,1.14,3.85,2.83,0.0519,Agressive,Agressive
2.53,0.396,2.75,1.09,3.91,2.75,0.0456,Agressive,Agressive
2.64,0.378,2.75,1.04,3.97,2.74,0.0105,Agressive,Agressive
2.77,0.362,2.73,0.988,4.06,2.69,-0.0184,Agressive,Agressive
2.82,0.354,2.8,0.993,4.05,2.61,-0.0297,Agressive,Agressive
2.84,0.352,2.85,1,4.1,2.57,-0.0305,Agressive,Agressive
2.83,0.354,2.76,0.979,4.2,2.33,-0.0254,Agressive,Agressive
2.78,0.36,2.76,0.993,4.15,2.24,-0.0293,Agressive,Agressive
2.71,0.369,3.02,1.11,3.95,2.31,-0.0428,Agressive,Agressive
2.72,0.368,3.26,1.2,3.92,2.04,-0.0389,Agressive,Agressive
2.65,0.378,3.52,1.33,3.94,1.99,-0.0703,Agressive,Agressive
2.54,0.394,3.58,1.41,3.93,1.88,-0.0965,Agressive,Agressive
2.43,0.411,3.6,1.48,3.94,1.92,-0.0972,Agressive,Agressive
2.22,0.451,3.65,1.65,3.87,1.98,-0.0877,Agressive,Agressive
2.06,0.484,3.64,1.76,3.75,1.95,-0.0388,Agressive,Agressive
2.13,0.469,3.61,1.69,3.67,1.93,0.0236,Agressive,Agressive
2.1,0.476,3.68,1.75,3.55,2.11,0.0474,Agressive,Agressive
2.06,0.486,3.76,1.83,3.37,2.39,0.0315,Agressive,Agressive
2.12,0.471,3.79,1.79,3.18,2.58,0.0239,Agressive,Agressive
2.17,0.461,3.61,1.66,3.01,2.55,0.00268,Agressive,Agressive
2.11,0.474,3.54,1.68,2.77,2.51,0.00994,Agressive,Agressive
2.04,0.49,3.31,1.62,2.48,2.5,0.0481,Agressive,Agressive
2.14,0.467,3.27,1.53,2.37,2.5,0.0406,Agressive,Agressive
2.3,0.436,3.25,1.42,2.62,2.48,0.0299,Agressive,Agressive
2.34,0.428,3.18,1.36,2.78,2.41,0.0201,Agressive,Agressive
3.25,0.307,2.91,0.896,3.48,1.9,0.0171,Agressive,Agressive
3.17,0.315,2.89,0.912,3.64,1.96,0.0196,Agressive,Agressive
3.15,0.317,2.94,0.932,3.63,1.91,0.0225,Agressive,Agressive
3.18,0.314,3.51,1.1,3.53,1.97,0.0184,Agressive,Agressive
3.46,0.289,3.66,1.06,3.52,2.06,0.012,Agressive,Agressive
3.88,0.258,3.4,0.875,3.69,1.96,0.00686,Agressive,Agressive
4.07,0.245,3.41,0.838,4.25,1.95,0.00355,Agressive,Agressive
4.06,0.247,3.43,0.846,4.63,1.79,0.00241,Agressive,Agressive
4.08,0.245,3.48,0.853,4.76,1.93,0.00405,Agressive,Agressive
4.13,0.242,3.6,0.872,4.79,1.98,0.00335,Agressive,Agressive
4.14,0.242,3.68,0.89,4.78,1.87,0.00273,Agressive,Agressive
4.13,0.242,3.71,0.898,4.73,1.79,0.00337,Agressive,Agressive
4.14,0.242,3.73,0.902,4.69,1.81,0.00326,Agressive,Agressive
4.14,0.241,3.63,0.877,4.68,1.86,0.00193,Agressive,Agressive
4.11,0.243,3.36,0.818,4.66,1.94,0.00183,Agressive,Agressive
3.9,0.256,3.29,0.842,4.67,1.83,0.0021,Agressive,Agressive
3.34,0.3,3.31,0.991,4.58,1.84,0.00633,Agressive,Agressive
2.94,0.34,3.25,1.1,4.14,1.84,0.0343,Agressive,Agressive
2.8,0.358,3.2,1.15,3.46,1.74,0.015,Agressive,Agressive
2.62,0.381,3.12,1.19,3.15,1.67,-0.0119,Agressive,Agressive
2.57,0.389,2.82,1.1,3.1,1.62,0.00232,Agressive,Agressive
2.57,0.388,2.88,1.12,3.15,1.62,0.0119,Agressive,Agressive
2.56,0.391,2.88,1.13,3.25,1.73,0.00697,Agressive,Agressive
2.58,0.388,2.89,1.12,3.26,1.74,0.016,Agressive,Agressive
2.6,0.385,2.73,1.05,3.1,1.65,0.0379,Agressive,Agressive
2.62,0.381,2.65,1.01,3.03,1.55,0.0381,Agressive,Agressive
2.59,0.386,2.59,0.998,3.03,1.5,0.0348,Agressive,Agressive
2.49,0.401,2.6,1.04,3.17,1.49,0.0288,Agressive,Agressive
2.67,0.375,2.61,0.978,3.39,1.53,0.0299,Agressive,Agressive
2.85,0.351,2.7,0.947,3.44,1.58,0.0523,Agressive,Agressive
2.82,0.354,2.68,0.949,3.38,1.61,0.073,Agressive,Agressive
2.71,0.369,2.78,1.03,3.4,1.64,0.0974,Agressive,Agressive
2.71,0.369,2.76,1.02,3.44,1.77,0.104,Agressive,Agressive
2.78,0.36,2.74,0.985,3.44,1.63,0.0917,Agressive,Agressive
2.89,0.346,2.87,0.992,3.47,1.53,0.0592,Agressive,Agressive
3.02,0.331,2.88,0.952,3.52,1.55,0.0309,Agressive,Agressive
3.08,0.324,2.9,0.941,3.76,1.62,0.0188,Agressive,Agressive
3.09,0.323,2.95,0.952,4.08,1.63,0.0138,Agressive,Agressive
3.06,0.327,2.94,0.962,4.23,1.76,0.0192,Agressive,Agressive
2.95,0.339,3.06,1.04,4.22,1.81,0.0221,Agressive,Agressive
2.74,0.366,3.03,1.11,4.27,1.78,0.00807,Agressive,Agressive
2.68,0.373,3.03,1.13,4.49,1.69,-0.0119,Agressive,Agressive
2.73,0.366,2.9,1.06,4.7,1.66,-0.0154,Agressive,Agressive
2.69,0.372,2.81,1.05,4.81,1.57,-0.0336,Agressive,Agressive
2.62,0.382,2.74,1.05,4.82,1.58,-0.0349,Agressive,Agressive
