alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
6.63,0.15,7.55,7.11,7.47,0.04,Sad,Sad
6.64,0.15,7.55,7.14,7.49,0.04,Sad,Sad
6.66,0.15,7.55,7.17,7.49,0.04,Sad,Sad
6.66,0.15,7.56,7.18,7.51,0.04,Sad,Sad
6.66,0.15,7.66,7.16,7.61,0.04,Sad,Sad
6.66,0.15,7.68,7.15,7.62,0.04,Sad,Sad
6.71,0.15,7.69,7.2,7.51,0.04,Sad,Sad
6.73,0.15,6.07,7.2,5.89,0.04,Sad,Sad
6.57,0.15,5.84,6.84,5.76,0.04,Sad,Sad
5.95,0.17,5.82,6.28,5.75,0.07,Sad,Sad
5.24,0.19,5.84,6.14,5.75,0.14,Sad,Sad
5.13,0.2,5.84,6.16,5.74,0.16,Sad,Sad
5.02,0.2,5.83,6.08,5.6,0.18,Sad,Sad
4.98,0.2,5.82,6.01,5.42,0.18,Sad,Sad
4.99,0.2,5.78,6.01,5.01,0.18,Sad,Sad
4.98,0.2,4.46,6,2.65,0.21,Sad,Sad
4.61,0.22,4.02,5.93,2.5,0.24,Sad,Sad
3.96,0.25,3.57,5.65,2.46,0.23,Sad,Sad
3.58,0.28,3.24,5.46,2.12,0.21,Sad,Sad
3.37,0.3,3.37,5.4,2.23,0.21,Sad,Sad
2.98,0.34,3.34,5.03,2.58,0.15,Sad,Sad
3.23,0.31,3.58,4.47,3.46,0.08,Sad,Sad
3.73,0.27,4.07,4.55,3.87,0.04,Sad,Sad
3.94,0.25,4.06,4.81,3.93,0.03,Sad,Sad
3.94,0.25,4.1,4.78,4.03,0.03,Sad,Sad
4.02,0.25,4.25,4.83,4.11,0.02,Sad,Sad
4.08,0.25,4.24,5.07,4.21,0.01,Sad,Sad
4.08,0.25,4.27,5.37,4.23,0.01,Sad,Sad
4.07,0.25,4.36,5.54,4.27,0.01,Sad,Sad
4.09,0.24,4.38,5.56,4.26,0.01,Sad,Sad
4.11,0.24,4.29,5.52,4.27,0,Sad,Sad
4.07,0.25,4.29,5.46,4.22,-0.01,Sad,Sad
3.85,0.26,3.99,5.46,3.64,-0.01,Sad,Sad
3.36,0.3,3.64,5.31,3.56,-0.03,Sad,Sad
3.22,0.31,3.65,5.23,3.37,-0.04,Sad,Sad
3.1,0.32,3.63,5.2,3.33,-0.04,Sad,Sad
2.95,0.34,3.49,5.07,3.13,-0.06,Sad,Sad
2.81,0.36,3.62,4.7,3.05,-0.08,Sad,Sad
2.86,0.35,3.46,4.01,3.11,-0.07,Sad,Sad
3.04,0.33,3.43,3.57,3.22,-0.05,Sad,Sad
2.94,0.34,3.59,3.72,3.39,-0.05,Sad,Sad
2.85,0.35,3.6,3.99,3.51,-0.04,Sad,Sad
2.99,0.33,3.68,4.16,3.5,-0.01,Sad,Sad
3.07,0.33,3.74,4.21,3.54,-0.01,Sad,Sad
3.12,0.32,3.7,4.22,3.53,-0.01,Sad,Sad
3.34,0.3,3.65,4.25,3.5,0.01,Sad,Sad
3.39,0.29,3.59,4.33,3.48,0.02,Sad,Sad
3.32,0.3,3.46,4.29,3.48,0.03,Sad,Sad
3.31,0.3,3.43,4.2,3.47,0.04,Sad,Sad
3.2,0.31,3.54,4.17,3.3,0.05,Sad,Sad
3.12,0.32,3.45,4.12,3.15,0.07,Sad,Sad
3.3,0.3,3.38,4,3.02,0.07,Sad,Sad
3.48,0.29,3.31,3.87,2.75,0.06,Sad,Sad
3.55,0.28,3.23,3.79,2.69,0.06,Sad,Sad
3.59,0.28,3.11,3.8,2.54,0.06,Sad,Sad
3.54,0.28,3.01,3.82,2.52,0.06,Sad,Sad
3.35,0.3,2.97,3.7,2.41,0.06,Sad,Sad
3.36,0.3,3,3.63,2.42,0.05,Sad,Sad
3.42,0.29,3.03,3.62,2.48,0.04,Sad,Sad
3.43,0.29,3.04,3.67,2.41,0.03,Sad,Sad
3.43,0.29,3.09,3.75,2.66,0.03,Sad,Sad
3.35,0.3,3.15,3.76,2.68,0.02,Sad,Sad
3.12,0.32,3.16,3.69,2.81,0.01,Sad,Sad
2.87,0.35,3.2,3.83,3,0.01,Sad,Sad
2.76,0.36,3.17,3.98,3,0.02,Sad,Sad
2.67,0.37,3.18,3.95,3.09,0.03,Sad,Sad
2.81,0.36,3.23,3.93,3.27,0.04,Sad,Sad
2.91,0.34,3.26,4,3.29,0.04,Sad,Sad
2.85,0.35,3.31,4.06,3.27,0.05,Sad,Sad
2.75,0.36,3.29,4.05,3.3,0.06,Sad,Sad
2.73,0.37,3.05,4.02,3.26,0.08,Sad,Sad
2.85,0.35,3.06,3.98,3.17,0.09,Sad,Sad
3.06,0.33,2.99,3.95,3.18,0.09,Sad,Sad
3.15,0.32,2.97,3.82,3.13,0.1,Sad,Sad
3.16,0.32,2.9,3.52,3.03,0.1,Sad,Sad
3.22,0.31,2.9,3.53,3.1,0.09,Sad,Sad
3.42,0.29,2.9,3.85,2.94,0.04,Sad,Sad
3.53,0.28,2.95,4.01,2.83,0.02,Sad,Sad
3.5,0.29,2.95,4.04,2.79,0.03,Sad,Sad
3.48,0.29,2.86,4.04,2.72,0.03,Sad,Sad
3.48,0.29,3.02,4.09,2.95,0.03,Sad,Sad
3.53,0.28,2.91,4.22,2.97,0.03,Sad,Sad
