alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Respuesta
3.91,0.26,3.64,4.18,2.48,0.02,Sad,Calm
3.95,0.25,3.97,4.18,2.47,0.02,Sad,Calm
4.15,0.24,4,4.15,2.49,0.01,Sad,Calm
4.27,0.23,4,4.11,2.49,0.01,Sad,Calm
4.22,0.24,3.99,3.91,2.48,0.01,Sad,Calm
4.07,0.25,3.75,3.73,2.16,0,Sad,Calm
3.89,0.26,3.62,3.57,2.36,0,Sad,Calm
3.77,0.27,4.04,3.34,2.53,-0.01,Sad,Calm
3.85,0.26,4.11,3.44,2.51,0,Sad,Calm
3.95,0.25,4.12,3.51,2.5,0,Sad,Calm
3.99,0.25,4.12,3.51,2.48,0,Sad,Calm
3.98,0.25,3.92,3.49,2.12,0,Sad,Calm
3.82,0.26,3.77,3.61,2.34,0,Sad,Calm
3.55,0.28,3.91,3.82,2.4,0,Sad,Calm
3.43,0.29,3.94,3.87,2.41,0.01,Sad,Calm
3.41,0.29,4,3.88,2.4,0.01,Sad,Calm
3.45,0.29,3.99,3.89,2.3,0.01,Sad,Calm
3.61,0.28,3.72,3.89,1.89,0.01,Sad,Calm
3.64,0.27,3.65,3.82,2.22,0.01,Sad,Calm
3.47,0.29,3.84,3.68,2.23,0.01,Sad,Calm
3.42,0.29,3.82,3.84,2.27,0.01,Sad,Calm
3.48,0.29,3.83,3.94,2.32,0.01,Sad,Calm
3.5,0.29,3.81,3.94,2.31,0.01,Sad,Calm
3.5,0.29,3.65,3.92,1.95,0.01,Sad,Calm
3.49,0.29,3.8,3.92,2.31,0,Sad,Calm
3.56,0.28,3.81,4.01,2.3,0,Sad,Calm
3.78,0.26,3.8,4.27,2.27,0.01,Sad,Calm
3.78,0.26,3.8,4.38,2.26,0.02,Sad,Calm
3.65,0.27,3.98,4.42,2.32,0.02,Sad,Calm
3.58,0.28,3.66,4.71,2,0.02,Sad,Calm
3.5,0.29,3.84,4.93,2.35,0.01,Sad,Calm
3.36,0.3,4.25,4.9,2.93,0.01,Sad,Calm
3.39,0.29,4.33,5.02,2.93,0.02,Sad,Calm
3.87,0.26,4.4,5.38,2.95,0.03,Sad,Calm
4.19,0.24,4.42,5.54,2.91,0.03,Sad,Calm
4.22,0.24,4.3,5.54,2.81,0.03,Sad,Calm
4.18,0.24,4.52,5.53,3.02,0.03,Sad,Calm
4.2,0.24,4.54,5.54,3.03,0.03,Sad,Calm
4.26,0.23,4.53,5.6,3.04,0.03,Sad,Calm
4.28,0.23,4.42,5.66,3.01,0.03,Sad,Calm
4.34,0.23,4.42,5.61,2.94,0.02,Sad,Calm
4.41,0.23,4.3,5.54,2.71,0.02,Sad,Calm
4.52,0.22,4.16,5.61,2.49,0.02,Sad,Calm
4.52,0.22,4.11,5.5,2.46,0.02,Sad,Calm
4.31,0.23,4.03,5.23,2.46,0.02,Sad,Calm
4.18,0.24,4.04,5.21,2.73,0.01,Sad,Calm
4.18,0.24,4.04,5.35,2.72,0.01,Sad,Calm
4.1,0.24,3.72,5.49,2.79,0.01,Sad,Calm
3.97,0.25,3.98,5.62,2.96,0,Sad,Calm
4.17,0.24,4.19,5.66,3.11,0,Sad,Calm
4.46,0.22,4.26,5.61,3.1,0,Sad,Calm
4.49,0.22,4.3,5.62,3.1,0.01,Sad,Calm
4.4,0.23,4.26,5.59,2.99,0.01,Sad,Calm
4.45,0.22,4.17,5.52,3.16,0,Sad,Calm
4.52,0.22,4.21,5.44,3.16,0,Sad,Calm
4.51,0.22,4.23,5.4,3.17,0,Sad,Calm
4.48,0.22,4.22,5.31,3,0,Sad,Calm
4.48,0.22,4.19,5.17,2.86,0,Sad,Calm
4.47,0.22,4.11,4.93,3.11,0,Sad,Calm
4.46,0.22,4.2,4.68,3.06,0,Sad,Calm
4.43,0.23,3.98,5.23,3.08,0,Sad,Calm
4.52,0.22,6.23,5.52,6.03,-0.02,Sad,Calm
5.84,0.17,7.8,6.47,6.27,0,Sad,Calm
7.29,0.14,7.86,8.15,6.27,0,Sad,Calm
7.85,0.13,7.87,8.75,6.27,0,Sad,Calm
7.99,0.13,7.9,8.87,6.28,0,Sad,Calm
8.02,0.12,7.9,8.89,6.27,0,Sad,Calm
8.04,0.12,7.9,8.91,6.27,0,Sad,Calm
8.05,0.12,7.91,8.91,6.46,0,Sad,Calm
8.05,0.12,8.23,8.94,7.03,0,Sad,Calm
8.19,0.12,8.28,9.12,7.03,0,Sad,Calm
8.47,0.12,8.28,9.49,7.03,0,Sad,Calm
8.59,0.12,7.66,9.67,6.45,0,Sad,Calm
8.54,0.12,7.3,9.68,6.44,0,Sad,Calm
8.24,0.12,7.27,9.53,6.43,0,Sad,Calm
7.92,0.13,7.21,9.35,6.42,0,Sad,Calm
7.87,0.13,7.18,9.29,6.43,0,Sad,Calm
7.83,0.13,7.18,9.29,6.43,0,Sad,Calm
7.82,0.13,7.18,9.29,6.43,0,Sad,Calm
7.81,0.13,7.16,9.28,4.97,0,Sad,Calm
7.78,0.13,5.3,9.22,2.51,0,Sad,Calm
7.44,0.13,3.96,8.78,2.38,0,Sad,Calm
6.5,0.15,3.89,7.94,2.59,0,Sad,Calm
4.7,0.21,4.24,7.43,2.69,0.01,Sad,Calm
4.26,0.24,4.24,7.11,2.68,0,Sad,Calm
4.08,0.25,4.28,6.32,2.66,-0.01,Sad,Calm
4.26,0.23,4.38,4.58,3.34,0.02,Happy,Happy
4.37,0.23,4.35,4.42,3.3,0.01,Happy,Happy
4.35,0.23,4.3,4.24,3.22,0.01,Happy,Happy
4.27,0.23,4.19,4.28,3.16,0,Happy,Happy
4.3,0.23,3.97,4.3,2.78,0,Happy,Happy
4.26,0.23,4.24,4.22,2.93,0,Happy,Happy
4.05,0.25,4.24,4.33,2.77,-0.01,Happy,Happy
3.81,0.26,4.25,4.39,2.75,-0.01,Happy,Happy
3.74,0.27,4.19,4.43,2.59,0,Happy,Happy
3.72,0.27,4.16,4.55,2.45,0,Happy,Happy
3.71,0.27,3.61,4.64,2.1,0,Happy,Happy
3.6,0.28,3.88,4.67,2.48,0,Happy,Happy
3.5,0.29,3.87,4.72,2.45,0,Happy,Happy
3.63,0.28,3.88,4.79,2.48,0,Happy,Happy
3.73,0.27,3.88,4.76,2.52,0.01,Happy,Happy
3.67,0.27,3.73,4.7,2.38,0.02,Happy,Happy
3.58,0.28,3.68,4.6,2.75,0.02,Happy,Happy
3.57,0.28,4.06,4.55,2.8,0.01,Happy,Happy
3.71,0.27,4.1,4.59,2.79,0,Happy,Happy
3.83,0.26,4.1,4.64,2.78,-0.01,Happy,Happy
3.85,0.26,4.14,4.66,2.78,-0.01,Happy,Happy
3.86,0.26,4.05,4.7,2.64,-0.02,Happy,Happy
3.92,0.26,4.13,4.76,2.67,-0.02,Happy,Happy
4.07,0.25,4.3,4.72,2.66,-0.03,Happy,Happy
4.26,0.23,4.5,4.7,2.6,-0.02,Happy,Happy
4.26,0.23,4.54,4.75,2.57,-0.03,Happy,Happy
4.33,0.23,4.57,4.74,2.52,-0.02,Happy,Happy
4.57,0.22,4.25,4.75,1.84,-0.02,Happy,Happy
4.71,0.21,4.39,4.76,2.44,-0.02,Happy,Happy
4.75,0.21,4.42,4.7,2.45,-0.02,Happy,Happy
4.85,0.21,4.48,4.61,2.47,-0.02,Happy,Happy
4.95,0.2,4.45,4.44,2.44,-0.01,Happy,Happy
4.98,0.2,4.48,4.3,2.41,-0.01,Happy,Happy
4.96,0.2,4.31,4.14,2.34,-0.01,Happy,Happy
4.9,0.2,4.46,4.24,2.71,-0.01,Happy,Happy
4.83,0.21,4.33,4.7,2.81,-0.01,Happy,Happy
4.88,0.2,4.41,5.2,2.9,-0.01,Happy,Happy
4.83,0.21,4.46,5.84,2.91,-0.01,Happy,Happy
4.64,0.22,4.45,6.49,2.84,-0.01,Happy,Happy
4.46,0.22,4.42,6.83,2.94,0,Happy,Happy
4.38,0.23,4.89,6.87,3.14,0,Happy,Happy
4.59,0.22,4.95,6.88,3.16,0,Happy,Happy
4.83,0.21,4.99,6.94,3.22,0,Happy,Happy
4.88,0.2,5.04,6.96,3.22,0,Happy,Happy
4.98,0.2,5.05,6.96,3.06,-0.01,Happy,Happy
5.2,0.19,5.1,6.92,3.14,-0.01,Happy,Happy
5.35,0.19,5.21,6.87,3.07,-0.01,Happy,Happy
5.42,0.18,5.18,6.8,3.07,-0.01,Happy,Happy
5.48,0.18,5.19,6.56,3.11,0,Happy,Happy
5.49,0.18,5.19,6.06,3.13,0,Happy,Happy
5.52,0.18,4.93,5.51,2.95,0,Happy,Happy
5.48,0.18,5.02,5.44,3.04,0,Happy,Happy
5.27,0.19,4.97,5.26,3.09,0,Happy,Happy
5.14,0.19,4.93,5.11,3.14,0,Happy,Happy
5.1,0.2,4.99,5.09,3.49,0,Happy,Happy
5.17,0.19,5.02,5.06,3.56,0,Happy,Happy
5.28,0.19,4.7,5.21,3.53,0,Happy,Happy
5.28,0.19,5.67,5.37,4.22,0,Happy,Happy
5.29,0.19,5.87,5.71,4.24,0,Happy,Happy
5.45,0.18,5.99,6.17,5.14,0,Happy,Happy
5.56,0.18,7.56,6.26,5.97,0,Happy,Happy
6.29,0.16,7.61,7.4,6.3,0,Happy,Happy
7.02,0.14,8.4,8.06,6.83,0,Happy,Happy
7.51,0.13,8.43,8.27,6.83,0,Happy,Happy
8.1,0.12,8.43,8.85,6.83,0,Happy,Happy
8.27,0.12,8.43,9.07,6.82,0,Happy,Happy
8.28,0.12,8.44,9.11,6.85,0,Happy,Happy
8.3,0.12,8.44,9.12,6.85,0,Happy,Happy
8.31,0.12,8.4,9.13,6.82,0,Happy,Happy
8.3,0.12,8.39,9.15,6.84,0,Happy,Happy
8.3,0.12,8.33,9.15,6.47,0,Happy,Happy
8.34,0.12,8.01,9.16,6.44,0,Happy,Happy
8.26,0.12,7.72,9.01,4.9,0,Happy,Happy
8.17,0.12,6.12,8.96,4.6,0,Happy,Happy
7.7,0.13,6.39,8.71,4.66,0,Happy,Happy
7.06,0.14,6.52,8.07,4.7,0,Happy,Happy
6.83,0.15,6.5,7.77,4.77,0,Happy,Happy
6.81,0.15,6.69,7.81,4.78,0,Happy,Happy
6.71,0.15,6.74,7.87,4.79,0,Happy,Happy
6.74,0.15,6.72,7.95,4.8,0,Happy,Happy
6.79,0.15,6.57,7.96,4.79,0,Happy,Happy
6.68,0.15,6.54,7.95,4.83,0,Happy,Happy
6.43,0.16,6.55,7.77,4.84,0,Happy,Happy
6.37,0.16,6.57,7.59,4.9,0,Happy,Happy
6.45,0.15,6.8,7.62,5.14,0,Happy,Happy
6.44,0.16,6.57,7.76,5.21,0,Happy,Happy
6.43,0.16,6.56,7.83,5.2,0,Happy,Happy
6.27,0.16,6.45,7.76,4.99,0,Happy,Happy
6.14,0.16,6.2,7.7,5,0,Happy,Happy
6.06,0.16,6.17,7.58,4.99,0,Happy,Happy
5.89,0.17,6.15,7.33,4.91,0,Happy,Happy
5.85,0.17,6.09,7.21,4.82,0,Happy,Happy
5.81,0.17,6.07,7.19,4.85,0,Happy,Happy
5.54,0.18,6.03,7.21,4.93,0,Happy,Happy
5.19,0.19,5.72,7.21,4.76,0,Happy,Happy
5.04,0.2,5.12,7.05,4.46,-0.01,Happy,Happy
5.04,0.2,5.01,6.65,4.29,-0.01,Happy,Happy
5.07,0.2,5.03,6.22,4.26,-0.01,Happy,Happy
5.17,0.19,5.02,6.19,4.06,-0.01,Happy,Happy
5.34,0.19,5.01,6.34,4.06,-0.01,Happy,Happy
5.42,0.18,5.03,6.37,4.12,-0.01,Happy,Happy
5.38,0.19,5.04,6.29,4.05,-0.01,Happy,Happy
5.37,0.19,5.27,6.24,4.02,-0.01,Happy,Happy
5.37,0.19,5.18,6.36,3.82,-0.01,Happy,Happy
5.26,0.19,5.05,6.35,3.62,-0.01,Happy,Happy
5.23,0.19,5.08,6.26,3.45,0,Happy,Happy
5.38,0.19,5.04,6.27,3.36,0,Happy,Happy
2.96,0.34,4.02,4.05,2.53,-0.05,Sad,Sad
3.06,0.33,3.97,4.1,2.54,-0.05,Sad,Sad
3.05,0.33,3.76,4.05,2.19,-0.06,Sad,Sad
3.04,0.33,3.82,3.97,2.42,-0.07,Sad,Sad
3.06,0.33,3.99,3.87,2.45,-0.08,Sad,Sad
3.13,0.32,4,3.79,2.44,-0.08,Sad,Sad
3.11,0.32,4.08,3.79,2.45,-0.08,Sad,Sad
3.03,0.33,4.14,3.86,2.47,-0.08,Sad,Sad
3.02,0.33,3.92,4.05,1.94,-0.07,Sad,Sad
3.21,0.31,4.11,4.14,2.35,-0.09,Sad,Sad
3.28,0.31,4.2,4.27,2.38,-0.07,Sad,Sad
3.54,0.28,4.22,4.55,2.37,-0.04,Sad,Sad
3.64,0.27,4.23,4.71,2.36,-0.03,Sad,Sad
3.68,0.27,4.26,4.83,2.37,-0.03,Sad,Sad
3.77,0.27,4,4.91,2.28,-0.04,Sad,Sad
3.79,0.26,4.3,5.01,2.43,-0.04,Sad,Sad
3.78,0.26,4.3,4.99,2.44,-0.04,Sad,Sad
3.86,0.26,4.24,4.96,2.42,-0.04,Sad,Sad
3.94,0.25,4.22,4.9,2.4,-0.05,Sad,Sad
3.92,0.26,4.22,4.81,2.26,-0.05,Sad,Sad
3.89,0.26,3.96,4.77,2.19,-0.04,Sad,Sad
3.82,0.26,4.15,4.56,2.18,-0.05,Sad,Sad
3.77,0.26,4.16,4.36,2.22,-0.05,Sad,Sad
3.78,0.26,4.15,4.27,2.3,-0.04,Sad,Sad
3.7,0.27,4.12,4.24,2.31,-0.03,Sad,Sad
3.66,0.27,3.9,4.12,1.99,-0.02,Sad,Sad
3.69,0.27,3.91,3.95,2.32,-0.02,Sad,Sad
3.78,0.26,4.12,4,2.36,-0.02,Sad,Sad
3.83,0.26,4.12,4.05,2.39,-0.01,Sad,Sad
3.8,0.26,4.17,4.04,2.39,0,Sad,Sad
3.78,0.26,4.17,4.07,2.42,0,Sad,Sad
3.72,0.27,3.97,4.13,2.3,0,Sad,Sad
3.58,0.28,4.1,4.13,2.64,-0.01,Sad,Sad
3.5,0.29,4.14,3.98,2.59,-0.02,Sad,Sad
3.63,0.28,4.15,3.97,2.71,-0.01,Sad,Sad
3.66,0.27,4.25,3.83,2.76,-0.02,Sad,Sad
3.68,0.27,4.28,3.86,2.74,-0.02,Sad,Sad
3.76,0.27,3.92,4.13,3.66,-0.02,Sad,Sad
4.01,0.25,6.76,4.7,5.15,-0.01,Sad,Sad
5.02,0.2,7.02,5.79,5.16,0,Sad,Sad
5.5,0.18,7.04,6.58,5.16,0,Sad,Sad
5.59,0.18,7.06,6.94,5.17,0,Sad,Sad
5.61,0.18,7.06,7.01,5.16,0,Sad,Sad
5.63,0.18,7.05,7.05,5.15,0,Sad,Sad
5.64,0.18,7.06,7.09,5.15,0,Sad,Sad
5.65,0.18,7.05,7.13,5.14,0,Sad,Sad
5.71,0.18,7.05,7.16,5.14,0,Sad,Sad
5.76,0.17,7.05,7.17,5.14,0,Sad,Sad
5.77,0.17,6.91,7.16,4.31,0,Sad,Sad
5.6,0.18,5,7.06,2.43,0,Sad,Sad
5.14,0.19,4.59,6.76,2.43,0,Sad,Sad
4.92,0.2,4.49,6.32,2.61,0,Sad,Sad
4.92,0.2,4.86,6,4.53,0,Sad,Sad
5.03,0.2,5.52,6.15,4.79,0,Sad,Sad
5.39,0.19,5.53,6.96,4.77,0,Sad,Sad
5.66,0.18,5.53,7.46,4.8,0,Sad,Sad
5.74,0.17,5.55,7.55,4.8,0,Sad,Sad
5.67,0.18,5.55,7.55,4.81,-0.01,Sad,Sad
5.63,0.18,5.56,7.57,4.81,-0.01,Sad,Sad
5.61,0.18,5.55,7.58,4.81,-0.01,Sad,Sad
5.59,0.18,5.45,7.57,4.79,-0.01,Sad,Sad
5.53,0.18,5.52,7.56,4.82,-0.01,Sad,Sad
5.49,0.18,5.48,7.54,4.77,0,Sad,Sad
5.53,0.18,4.71,7.53,2.82,0,Sad,Sad
5.47,0.18,4.07,7.45,2.77,0,Sad,Sad
5.16,0.19,4.06,6.94,2.78,-0.01,Sad,Sad
4.68,0.21,3.97,5.87,2.6,-0.01,Sad,Sad
4.61,0.22,4.24,4.97,2.82,-0.01,Sad,Sad
4.64,0.22,4.27,4.48,2.74,-0.01,Sad,Sad
4.64,0.22,4.28,4.22,2.72,-0.01,Sad,Sad
4.69,0.21,4.33,4.53,2.7,-0.01,Sad,Sad
4.7,0.21,4.26,4.65,2.44,-0.01,Sad,Sad
4.64,0.22,4.06,4.66,2.56,-0.02,Sad,Sad
4.47,0.22,4.22,4.85,2.97,-0.02,Sad,Sad
4.46,0.22,5,5.22,3.86,-0.02,Sad,Sad
4.77,0.21,5.15,5.71,3.84,0,Sad,Sad
5.28,0.19,5.16,5.93,3.84,0,Sad,Sad
5.6,0.18,5.06,6,3.76,0,Sad,Sad
5.68,0.18,4.98,6.03,3.84,0.01,Sad,Sad
5.68,0.18,5.03,6.05,3.84,0.01,Sad,Sad
5.67,0.18,5.06,6.01,3.85,0.01,Sad,Sad
5.67,0.18,5.1,5.99,3.86,0.01,Sad,Sad
5.7,0.18,5.1,6.02,3.86,0.01,Sad,Sad
5.71,0.18,5.06,5.97,3.77,0.01,Sad,Sad
5.7,0.18,5.08,5.86,3.63,0.01,Sad,Sad
5.66,0.18,4.18,5.64,2.74,0.01,Sad,Sad
5.44,0.18,3.97,5.18,2.76,0.01,Sad,Sad
4.88,0.2,4.03,4.61,2.81,0.02,Sad,Sad
4.48,0.22,4.13,4.54,2.77,0.03,Sad,Sad
4.34,0.23,4.21,4.61,2.65,0.03,Sad,Sad
4.31,0.23,4.25,4.72,2.74,0.03,Sad,Sad
4.39,0.23,4.11,4.73,2.82,0.03,Sad,Sad
4.41,0.23,4.02,4.69,2.81,0.03,Sad,Sad
4.51,0.22,5.17,5.04,3.76,0.02,Sad,Sad
4.52,0.22,5.3,5.79,3.68,0.02,Sad,Sad
4.78,0.21,5.29,6.53,3.71,0.02,Sad,Sad
4.98,0.2,5.31,6.97,3.7,0.01,Sad,Sad
4.97,0.2,5.76,7.1,5.49,0.01,Sad,Sad
5.27,0.19,6.02,7.45,5.67,0,Sad,Sad
6.09,0.16,6.03,8.24,5.67,0,Sad,Sad
6.53,0.15,5.99,8.61,5.66,0,Sad,Sad
6.7,0.15,6.01,8.68,5.66,0,Sad,Sad
6.71,0.15,6.02,8.71,5.66,0,Sad,Sad
6.71,0.15,6.01,8.74,5.66,0,Sad,Sad
6.7,0.15,5.6,8.74,5.57,0,Sad,Sad
6.69,0.15,5.59,8.7,5.57,0,Sad,Sad
6.64,0.15,5.57,8.64,5.56,0,Sad,Sad
4.37,0.23,4.48,4.55,2.83,-0.05,Calm,Calm
4.37,0.23,4.46,4.53,2.82,-0.05,Calm,Calm
4.28,0.23,4.39,4.51,2.8,-0.04,Calm,Calm
4.12,0.24,4.37,4.22,2.81,-0.03,Calm,Calm
3.92,0.25,4.26,3.92,2.12,-0.01,Calm,Calm
3.81,0.26,4.12,3.87,2.44,-0.02,Calm,Calm
3.87,0.26,4.12,4.09,2.48,-0.03,Calm,Calm
4.1,0.24,4.08,4.36,2.46,-0.02,Calm,Calm
4.22,0.24,4.05,4.34,2.47,-0.01,Calm,Calm
4.15,0.24,3.99,4.16,2.47,-0.01,Calm,Calm
4.16,0.24,3.73,4.19,2.59,-0.01,Calm,Calm
4.17,0.24,3.83,4.23,2.65,0,Calm,Calm
4.13,0.24,3.92,4.26,2.67,0,Calm,Calm
4.24,0.24,3.97,4.4,2.69,-0.01,Calm,Calm
4.36,0.23,3.92,4.47,2.67,-0.02,Calm,Calm
4.38,0.23,3.84,4.52,2.49,-0.02,Calm,Calm
4.39,0.23,3.92,4.54,2.57,-0.01,Calm,Calm
4.36,0.23,3.99,4.55,2.53,-0.01,Calm,Calm
4.37,0.23,4.05,4.54,2.54,0,Calm,Calm
4.46,0.22,4.14,4.52,2.5,0,Calm,Calm
4.47,0.22,4.16,4.49,2.5,0,Calm,Calm
4.36,0.23,4.01,4.5,2.25,0,Calm,Calm
4.28,0.23,4.38,4.5,2.42,-0.01,Calm,Calm
4.23,0.24,4.33,4.51,2.38,-0.01,Calm,Calm
4.11,0.24,4.31,4.49,2.39,0,Calm,Calm
4.06,0.25,4.3,4.47,2.44,0,Calm,Calm
4.07,0.25,4.33,4.6,2.22,0.01,Calm,Calm
4.08,0.24,4.19,4.65,2.5,0.01,Calm,Calm
4.05,0.25,4.3,4.53,2.56,0,Calm,Calm
4.04,0.25,4.26,4.55,2.58,-0.01,Calm,Calm
4.11,0.24,4.15,4.66,2.6,-0.01,Calm,Calm
4.17,0.24,4.15,4.63,2.61,0,Calm,Calm
4.18,0.24,3.87,4.64,2.34,0,Calm,Calm
4.17,0.24,3.83,4.67,2.69,0,Calm,Calm
4.15,0.24,3.86,4.62,2.69,0,Calm,Calm
4.06,0.25,3.85,4.64,2.66,0.01,Calm,Calm
4,0.25,3.81,4.56,2.66,0.01,Calm,Calm
3.99,0.25,3.79,4.35,2.68,0,Calm,Calm
3.97,0.25,3.49,4.22,2.66,0.01,Calm,Calm
3.84,0.26,3.77,4.1,2.7,0.01,Calm,Calm
3.46,0.29,3.93,3.82,2.67,0.03,Calm,Calm
3.11,0.32,3.94,3.75,2.66,0.03,Calm,Calm
3.15,0.32,3.92,3.69,2.65,-0.02,Calm,Calm
3.39,0.29,3.88,3.66,2.48,-0.05,Calm,Calm
3.66,0.27,3.93,3.82,2.76,-0.06,Calm,Calm
3.74,0.27,3.99,3.88,2.77,-0.08,Calm,Calm
3.77,0.27,4,3.88,2.77,-0.08,Calm,Calm
3.89,0.26,3.99,3.87,2.76,-0.08,Calm,Calm
3.93,0.25,3.98,3.94,2.73,-0.08,Calm,Calm
3.9,0.26,3.77,4.08,2.33,-0.09,Calm,Calm
3.84,0.26,4.14,4.15,2.77,-0.11,Calm,Calm
3.85,0.26,4.08,4.12,2.78,-0.11,Calm,Calm
3.88,0.26,4.08,4.16,2.79,-0.09,Calm,Calm
3.84,0.26,4.08,4.28,2.79,-0.08,Calm,Calm
3.64,0.27,4.08,4.23,2.68,-0.08,Calm,Calm
3.42,0.29,3.76,4.07,2.47,-0.07,Calm,Calm
3.42,0.29,4.04,3.95,2.56,-0.06,Calm,Calm
3.44,0.29,4.08,3.91,2.66,-0.05,Calm,Calm
3.31,0.3,4.24,3.86,2.84,-0.04,Calm,Calm
3.24,0.31,4.24,3.82,2.84,-0.02,Calm,Calm
3.37,0.3,4.17,3.87,2.69,-0.03,Calm,Calm
3.43,0.29,3.83,3.85,2.76,-0.04,Calm,Calm
3.38,0.3,3.89,3.92,2.76,-0.05,Calm,Calm
3.37,0.3,3.93,3.87,2.82,-0.04,Calm,Calm
3.51,0.28,4.03,3.77,2.86,-0.02,Calm,Calm
3.77,0.27,4.07,3.88,2.88,-0.01,Calm,Calm
4.01,0.25,3.99,4.17,2.66,-0.01,Calm,Calm
4.06,0.25,4,4.43,2.82,-0.01,Calm,Calm
4,0.25,3.95,4.62,2.67,-0.02,Calm,Calm
4.01,0.25,3.97,4.79,2.64,-0.02,Calm,Calm
4.02,0.25,4.16,4.86,2.58,-0.01,Calm,Calm
4.01,0.25,4.17,4.91,2.5,-0.01,Calm,Calm
4.04,0.25,4.1,4.96,2.35,0,Calm,Calm
4.05,0.25,6.31,5.06,4.68,0,Calm,Calm
5.31,0.19,7.92,5.69,6.25,0,Calm,Calm
6.74,0.15,8.05,6.34,6.36,0,Calm,Calm
7.32,0.14,8.55,7.31,6.84,0,Calm,Calm
7.77,0.13,8.6,7.53,6.95,0,Calm,Calm
8.34,0.12,8.62,8.03,6.96,0,Calm,Calm
8.58,0.12,8.62,8.23,6.96,0,Calm,Calm
8.66,0.12,8.62,8.29,6.96,0,Calm,Calm
8.68,0.12,8.62,8.32,6.96,0,Calm,Calm
8.69,0.12,8.62,8.33,6.96,0,Calm,Calm
8.7,0.11,8.62,8.34,6.93,0,Calm,Calm
8.7,0.11,8.47,8.33,6.56,0,Calm,Calm
8.66,0.12,7.91,8.3,6.31,0,Calm,Calm
8.53,0.12,7.55,8.14,5.35,0,Calm,Calm
8.36,0.12,5.97,7.91,4.26,0,Calm,Calm
8.06,0.12,5.14,7.62,3.05,0,Calm,Calm
7.39,0.14,4.25,6.98,3.12,0,Calm,Calm
6.08,0.16,4.22,6.04,3.15,0,Calm,Calm
5.44,0.18,4.22,5.23,3.01,0,Calm,Calm
5.04,0.2,4.12,4.6,2.95,-0.01,Calm,Calm
4.48,0.22,4.18,4.12,2.97,-0.01,Calm,Calm
4,0.25,4.35,3.93,2.81,-0.02,Calm,Calm
3.73,0.27,4.19,4.21,2.84,-0.02,Calm,Calm
4.14,0.24,4.29,5.04,2.85,-0.01,Calm,Calm
4.43,0.23,4.39,5.72,2.86,0,Calm,Calm
4.45,0.22,4.53,6.06,3.17,0,Calm,Calm
4.62,0.22,4.58,6.55,3.29,0,Calm,Calm
4.91,0.2,4.45,6.86,3.13,0.01,Calm,Calm
5.01,0.2,4.53,6.93,3.13,0.01,Calm,Calm
4.99,0.2,4.54,6.95,3.17,0.01,Calm,Calm
4.98,0.2,4.54,7.01,3.16,0.01,Calm,Calm
5,0.2,4.44,7.04,3.14,0.01,Calm,Calm
5.02,0.2,4.37,7.03,3.08,0.01,Calm,Calm
3.33,0.3,3.83,4.14,2.36,-0.04,Calm,Happy
3.4,0.29,3.55,4.09,2.36,-0.03,Calm,Happy
3.4,0.29,4.04,4.04,2.45,-0.03,Calm,Happy
3.57,0.28,4.1,4.03,2.44,-0.02,Calm,Happy
3.74,0.27,4.07,3.9,2.44,-0.01,Calm,Happy
3.79,0.26,4.08,3.77,2.43,0,Calm,Happy
3.81,0.26,4.06,3.68,2.06,-0.01,Calm,Happy
3.83,0.26,3.79,3.63,2.24,-0.01,Calm,Happy
3.77,0.27,4,3.72,2.31,0,Calm,Happy
3.58,0.28,4,3.8,2.35,0.01,Calm,Happy
3.42,0.29,4,4.04,2.33,0.01,Calm,Happy
3.41,0.29,3.99,4.19,2.36,0,Calm,Happy
3.41,0.29,3.78,4.21,2.11,-0.02,Calm,Happy
3.45,0.29,3.93,4.22,2.47,-0.02,Calm,Happy
3.45,0.29,4.09,4.28,2.46,-0.04,Calm,Happy
3.7,0.27,4.05,4.33,2.45,-0.05,Calm,Happy
3.98,0.25,4.04,4.39,2.45,-0.04,Calm,Happy
4.09,0.24,4.03,4.44,2.43,-0.04,Calm,Happy
4.15,0.24,3.92,4.5,2.11,-0.04,Calm,Happy
4.21,0.24,3.99,4.56,2.36,-0.04,Calm,Happy
4.33,0.23,3.99,4.52,2.35,-0.03,Calm,Happy
4.45,0.22,4.01,4.42,2.35,-0.03,Calm,Happy
4.44,0.23,4.02,4.45,2.31,-0.03,Calm,Happy
4.43,0.23,3.92,4.45,2.28,-0.03,Calm,Happy
4.46,0.22,3.33,4.49,2.07,-0.03,Calm,Happy
4.38,0.23,3.8,4.58,2.2,-0.02,Calm,Happy
4.22,0.24,3.91,4.52,2.19,-0.03,Calm,Happy
4.18,0.24,3.92,4.51,2.2,-0.02,Calm,Happy
4.17,0.24,3.9,4.45,2.24,-0.02,Calm,Happy
4.11,0.24,3.9,4.41,2.01,-0.02,Calm,Happy
3.98,0.25,3.78,4.39,2.06,-0.02,Calm,Happy
3.75,0.27,4.09,4.46,2.04,-0.02,Calm,Happy
3.73,0.27,4.11,4.44,2.1,0,Calm,Happy
3.9,0.26,4.1,4.4,2.1,0.01,Calm,Happy
3.92,0.26,4.09,4.33,2.02,0.01,Calm,Happy
3.85,0.26,3.9,4.16,1.7,0.01,Calm,Happy
3.76,0.27,3.91,4.06,2.28,0.01,Calm,Happy
